id,sf_participant,region,gender,age,edu,status,hh_mem,agri_long,irriga,loan,Non-Farm Act,other_inc,agri Org_mem,Year,crop1,land_crop1_in,price_crop1_in,Tot_Yield_crop1,Avg_Prod_Crop1,ProductivityCrop1_Ch,Land_Proportion_Crop1,Weight_ProduCrop1_Ch,crop2,land_crop2,price_crop2,Tot_Yield_crop2,Avg_Prod_Crop2,ProductivityCrop2_Ch,Land_Proportion_Crop2,Weight_ProduCrop2_Ch,crop3,round_crop3,land_crop3,Tot_Yield_crop3,price_crop3,Avg_Prod_Crop3,ProductivityCrop3_Ch,Land_Proportion_Crop3,Weight_ProduCrop3_Ch,Produtivity_Ch(All),Ave_ProdRisk,Ave_InputRisk,Ave_MktRisk,Ave_InfRisk,Ave_FinRisk,Overview_Risk,gov_support,29.agri_learning_chan,31.agri_tech_adapt,31.1Adapt_tech_prod,31.2farm_manag,31.3agri_entrep,31.4val_added,Avg_ProdManage,Avg_InputManage,Avg_Tech,Avg_Ana&Plan,Avg_Mkting,Avg_Network,All_Skill,Ch_ProdManage,Ch_InputManage,Ch_Tech,Ch_Ana&Plan,Ch_Mkting,Ch_Network,Ch_Skill
30,1,3,1,35,5,2,6,10,0,1,1,100000,1,1,8,4,20,2000,500,0,0.67,0,7,2,80,1000,500,0,0.333333333,0,,,,,,,,0,0,0,4.5,3.666666667,3.333333333,3,3.5,3.6,4,2,1,1,1,1,1,4,4,3.75,4,4,4,3.96,0,0.666666667,-0.5,0.6,1,1.25,0.502777778
30,1,3,1,35,5,2,6,10,0,1,1,100000,1,0,8,4,20,2000,500,-1,0.67,-0.66,7,2,80,1000,500,-0.6875,0.333333333,-0.229166667,,,,,,,,0,0,,4.5,3.666666667,3.333333333,3,3.5,3.6,4,2,1,1,1,1,1,4,3.33,4.25,3.4,3,2.75,3.46,-0.8,-0.666666667,0.75,-0.8,-0.666666667,-1,-0.530555556
31,1,1,1,59,6,2,4,18,1,0,0,0,1,1,8,1,120,120000,120000,0,0.09,0,1,10,10,16000,1600,0,0.909090909,0,,,,,,,,0,0,0,1.75,2.666666667,2.333333333,3.5,2,2.45,4,5,,,,,,4.8,4,3.5,4.2,3.67,3.75,3.99,0.2,0.666666667,0.5,0.8,0.666666667,-0.25,0.430555556
31,1,1,1,59,6,2,4,18,1,0,0,0,1,0,8,1,120,120000,120000,74,0.09,6.73,1,10,10,16000,1600,104.2631579,0.909090909,94.784689,,,,,,,,0,0,,1.75,2.666666667,2.333333333,3.5,2,2.45,4,5,,,,,,4.6,3.33,3,3.4,3,4,3.56,0,-1.666666667,-2,-0.8,-1,0,-0.911111111
33,0,1,1,60,5,2,4,30,0,0,1,500000,1,1,1,30,11,48000,1600,0,0.27,0,2,40,33.33,608,15.2,0,0.363636364,0,2,1,40,200000,4,5000,0,0.363636364,0,0,3.5,3.666666667,3.333333333,3,3.5,,3,5,,,,,,4.6,5,5,4.2,4,4,4.47,0,0.666666667,0,0.6,1.333333333,1.25,0.641666667
33,1,1,1,60,5,2,4,30,0,0,1,500000,1,0,1,30,11,48000,1600,23,0.27,6.27,2,40,33.33,608,15.2,,0.363636364,0,2,1,40,200000,9,5000,,0.363636364,0,,3.5,3.666666667,3.333333333,3,3.5,3.4,3,5,,,,,,4.6,4.33,5,3.6,2.67,2.75,3.83,0.4,0,0,-1.2,-0.666666667,-1.25,-0.452777778
35,1,1,1,50,5,2,4,20,1,0,1,10000,1,1,7,6,100,400,66.67,0.33,1,0.33,,,,,,,0,0,,,,,,,,0,0,0.333333333,1.5,2,1,3,2.5,2,2,2,1,1,1,1,1,4.2,4.33,5,4.8,3.33,4,4.28,0.2,0.333333333,0.25,0.2,-0.333333333,0,0.108333333
35,1,1,1,50,5,2,4,20,1,0,1,10000,1,0,7,6,100,300,50,-0.95,1,-0.95,,,,,,,0,0,,,,,,,,0,0,,1.5,2,1,3,2.5,2,2,2,1,1,1,1,1,4,4,4.75,4.6,3.67,4,4.17,0,0,1.75,1.2,1.666666667,1.75,1.061111111
37,0,1,0,47,4,2,4,30,1,0,1,80000,0,1,1,13,10,12000,923.08,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,2,2,2,4,3,2.6,4,5,,,,,,4,4,3,3.4,2,2.25,3.11,0,0.333333333,0.25,0,-0.666666667,0.25,0.027777778
37,0,1,0,47,4,2,4,30,1,0,1,80000,0,0,1,13,10,12000,923.08,-0.18,1,-0.18,,,,,,,0,0,,,,,,,,0,0,,2,2,2,4,3,2.6,4,5,,,,,,4,3.67,2.75,3.4,2.67,2,3.08,-0.6,-1,-1.75,-0.6,-1.666666667,-2.75,-1.394444444
38,1,1,0,46,5,1,4,12,1,0,1,20000,1,1,1,160,11,180000,1125,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,1.25,2.666666667,1.333333333,2,2.5,1.95,4,2,1,1,1,1,1,4.6,4.67,4.5,4,4.33,4.75,4.48,0.4,-0.33,-0.5,0,1.33,0.75,0.27
38,1,1,0,46,5,1,4,12,1,0,1,20000,1,0,1,160,8,180000,1125,17,1,17,,,,,,,0,0,,,,,,,,0,0,,1.25,2.666666667,1.333333333,2,2.5,1.95,4,2,1,1,1,1,1,4.2,5,5,4,3,4,4.2,-0.6,1,1,0.2,-0.333333333,1.5,0.461111111
47,1,6,1,71,4,2,5,8,1,0,1,10000,0,1,8,8,50,500,62.5,4,0.24,0.94,7,16,80,10000,625,-0.5,0.470588235,-0.235294118,7,1,10,1200,80,120,11,0.294117647,3.235294118,1.31,1.25,1.333333333,1.666666667,3,2,,3,5,,,,,,4.8,4,4,3.8,3.33,2.5,3.74,1.6,0.333333333,-0.5,0.6,0.67,-2.5,0.03
47,1,6,1,71,4,2,5,8,1,0,1,10000,0,0,8,8,50,100,12.5,-0.82,0.31,-0.25,7,8,80,10000,1250,-0.375,0.307692308,-0.115384615,7,1,10,100,0,10,,0.384615385,0,,1.25,1.333333333,1.666666667,3,2,1.85,3,5,,,,,,3.2,3.67,4.5,3.2,2.67,5,3.71,-1,-0.333333333,0,-1.6,-1,0.25,-0.613888889
53,1,6,1,62,4,2,4,7,1,0,1,4000,1,1,7,7,40,480,68.57,1,1,1,8,0.004,80,8,2000,0,0.000571102,0,,,,,,,,0,0,1,1.5,2.333333333,1.333333333,3,3.5,2.333333333,3,5,,,,,,4.2,4,4.5,4.8,3.67,4.75,4.32,-0.8,0.666666667,0.75,0.8,-0.333333333,0.5,0.263888889
53,1,6,1,62,4,2,4,7,1,0,1,4000,1,0,7,7,60,240,34.29,-1,1,-1,8,0.004,80,8,2000,,0.000571102,0,,,,,,,,0,0,,1.5,2.333333333,1.333333333,3,3.5,2.333333333,3,5,,,,,,5,3.33,3.75,4,4,4.25,4.06,0.2,-0.666666667,-0.5,0.4,0.333333333,0.75,0.086111111
57,1,2,1,55,3,2,5,6,1,0,0,0,1,1,8,0.5,45,8000,16000,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,1.25,2,1.333333333,1.5,2,1.616666667,3,5,,,,,,4.8,4,4.25,3.6,3.67,3.5,3.97,2,1.333333333,0.5,0.2,2,1.25,1.21
57,1,2,1,55,3,2,5,6,1,0,0,0,1,0,8,0.5,45,8000,16000,4.33,1,4.33,,,,,,,0,0,,,,,,,,0,0,,1.25,2,1.333333333,1.5,2,1.616666667,3,5,,,,,,2.8,2.67,3.75,3.4,1.67,2.25,2.76,-1.6,-1.666666667,-0.5,-0.8,-2.333333333,-1.75,-1.441666667
60,1,2,1,66,5,2,6,5,0,0,0,0,1,1,8,1600,28,4800000,3000,-0.14,0.29,-0.04,5,4000,5,2800000,700,0,0.714158186,0,8,2,1,5000,35,5000,5000,0.00017854,0.892697733,0.283962898,1.5,2,1,1.5,2.5,,3,5,,,,,,4.4,4.33,4.25,4.2,4,4,4.2,0,1.333333333,0.25,0.4,1,0,0.5
60,1,2,1,66,5,2,6,5,0,0,0,0,1,0,8,1600,18,5600000,3500,2.5,0.29,0.71,5,4000,7,2800000,700,-0.377777778,0.714285714,-0.26984127,0,0,0,0,0,0,,0,0,,1.5,2,1,1.5,2.5,1.7,3,5,,,,,,4.4,3,4,3.8,3,4,3.7,-0.6,-0.666666667,-1,-1,-1.333333333,-1,-0.933333333
62,1,2,1,57,3,2,4,8,1,0,1,7500,1,1,7,10,50,10000,1000,0,0.36,0,7,8,30,9000,1125,0,0.285714286,0,2,1,10,60000,25,6000,-0.625,0.357142857,-0.223214286,-0.074404762,2,2,1.333333333,1.5,2.5,,3,2,1,1,1,1,1,5,3.67,5,4.8,4.33,5,4.63,0.4,-0.666666667,1,0.6,0.666666667,0.75,0.458333333
62,1,2,1,57,3,2,4,8,1,0,1,7500,1,0,7,10,50,10000,1000,0.67,0.36,0.24,7,8,30,9000,1125,1.8125,0.285714286,0.517857143,2,1,10,160000,15,16000,,0.357142857,0,,2,2,1.333333333,1.5,2.5,1.866666667,3,2,1,1,1,1,1,4.6,4.33,4,4.2,3.67,4.25,4.18,0.8,0,0.25,0.4,0,0,0.241666667
63,1,6,1,48,5,2,2,16,0,0,1,150000,0,1,8,1,60,600,600,0,0.67,0,8,0.5,60,200,400,0,0.333333333,0,,,,,,,,0,0,0,2.25,1.333333333,1.333333333,1.5,2,1.683333333,1,5,,,,,,3.8,4.33,3.75,3.8,3.67,4.25,3.93,-0.2,0,1.75,1.8,1,1.75,1.016666667
63,1,6,1,48,5,2,2,16,0,0,1,150000,0,0,8,1,60,600,600,4.76,0.67,3.17,8,0.5,60,200,400,3.79616307,0.333333333,1.26538769,,,,,,,,0,0,,2.25,1.333333333,1.333333333,1.5,2,1.683333333,1,5,,,,,,4,4.33,2,2,2.67,2.5,2.92,-0.8,0,-2.75,-2.4,-1,-2,-1.491666667
64,1,2,1,49,3,2,5,7,0,0,0,0,1,1,9,24,49,2500,104.17,0.25,0.71,0.18,9,10,30,834,83.4,0,0.294117647,0,,,,,,,,0,0,0.176470588,1.5,1.666666667,1.333333333,1.5,1.5,1.5,3,4,1,0,0,1,1,4.8,4.33,4.75,4.4,3.67,4.5,4.41,1.4,2,1.25,0.4,-0.67,0.5,0.81
64,1,2,1,49,3,2,5,7,0,0,0,0,1,0,9,24,44,2000,83.33,-0.98,0.71,-0.69,9,10,30,834,83.4,,0.294117647,0,,,,,,,,0,0,,1.5,1.666666667,1.333333333,1.5,1.5,1.5,3,4,1,0,0,1,1,3.4,2.33,3.5,4,4.33,4,3.59,-0.4,-1.333333333,-1.25,-0.2,-0.333333333,-0.5,-0.669444444
66,1,1,1,64,1,2,5,25,0,1,1,150000,1,1,7,9,5,30000,3333.33,0.25,1,0.25,,,,,,,0,0,,,,,,,,0,0,0.25,1.5,3,1.666666667,3.5,3,2.533333333,2,2,1,1,1,1,1,3.8,3.67,4.75,4.2,4.67,4.5,4.26,-1.2,-0.333333333,0,0.6,2.33,0.75,0.36
66,1,1,1,64,1,2,5,25,0,1,1,150000,1,0,7,9,5,24000,2666.67,1.05,1,1.05,,,,,,,0,0,,,,,,,,0,0,,1.5,3,1.666666667,3.5,3,2.533333333,2,2,1,1,1,1,1,5,4,4.75,3.6,2.33,3.75,3.91,0.4,0,0.5,-0.4,-1.666666667,-0.25,-0.236111111
68,1,2,1,58,5,2,4,7,1,0,1,25000,1,1,8,1,60,1300,1300,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,1.5,2,1.333333333,1.5,2.5,1.766666667,3,5,,,,,,4.6,4,4.25,4,4,4,4.14,1,-0.333333333,0.75,-0.6,1.67,0.75,0.54
68,1,2,1,58,5,2,4,7,1,0,1,25000,1,0,8,1,60,1300,1300,-0.59,1,-0.59,,,,,,,0,0,,,,,,,,0,0,,1.5,2,1.333333333,1.5,2.5,1.766666667,3,5,,,,,,3.6,4.33,3.5,4.6,2.33,3.25,3.6,-1.4,0,-1,0.6,-0.666666667,-1,-0.577777778
69,1,1,0,46,3,2,4,7,0,0,1,160000,0,1,7,3,5,9600,3200,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,4,4.333333333,4.333333333,3.5,3.5,3.933333333,5,2,1,1,1,1,1,5,4.33,4.5,4,3,4.25,4.18,0.6,0.333333333,0.75,0.2,-1,-0.25,0.105555556
69,1,1,0,46,3,2,4,7,0,0,1,160000,0,0,7,3,5,9600,3200,3.44,1,3.44,,,,,,,0,0,,,,,,,,0,0,,4,4.333333333,4.333333333,3.5,3.5,3.933333333,5,2,1,1,1,1,1,4.4,4,3.75,3.8,4,4.5,4.08,1,1,0.5,0.4,1.666666667,2.75,1.219444444
72,0,1,1,68,4,2,2,10,0,1,1,65000,1,1,1,15,9,10800,720,0.62,1,0.62,,,,,,,0,0,,,,,,,,0,0,0.61999919,3.25,4,3.666666667,4.5,3.5,3.783333333,2,5,,,,,,3.4,3,3.25,3.4,2.33,1.75,2.86,0.2,-0.333333333,0.25,0,0.333333333,0.25,0.116666667
72,0,1,1,68,4,2,2,10,0,1,1,65000,1,0,1,15,9,6666.67,444.44,-0.54,1,-0.54,,,,,,,0,0,,,,,,,,0,0,,3.25,4,3.666666667,4.5,3.5,3.783333333,2,5,,,,,,3.2,3.33,3,3.4,2,1.5,2.74,-1.8,-0.666666667,0.5,0,-2.333333333,-3.5,-1.3
73,1,6,1,79,3,2,7,20,1,0,0,0,1,1,8,1.5,120,1440,960,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,2,2.333333333,1.333333333,2.5,1,1.833333333,3,5,,,,,,5,4,2.5,3.4,4.33,5,4.04,0.2,0,-1.25,-0.4,1.333333333,1.25,0.188888889
73,1,6,1,79,3,2,7,20,1,0,0,0,1,0,8,1.5,120,1440,960,-0.47,1,-0.47,,,,,,,0,0,,,,,,,,0,0,,2,2.333333333,1.333333333,2.5,1,1.833333333,3,5,,,,,,4.8,4,3.75,3.8,3,3.75,3.85,0.4,-0.333333333,-0.25,-0.2,-0.333333333,-0.5,-0.202777778
75,1,1,0,64,1,2,6,8,1,0,1,8000,1,1,8,1,35,1800,1800,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,1.5,2.333333333,1.666666667,1.5,3.5,2.1,3,5,,,,,,4.4,4.33,4,4,3.33,4.25,4.05,2.2,0,0.5,0.8,0.33,0,0.64
75,1,1,0,64,1,2,6,8,1,0,1,8000,1,0,8,1,35,1800,1800,-0.1,1,-0.1,,,,,,,0,0,,,,,,,,0,0,,1.5,2.333333333,1.666666667,1.5,3.5,2.1,3,5,,,,,,2.2,4.33,3.5,3.2,3,4.25,3.41,-2.8,0.666666667,-1,-1.4,-0.333333333,-0.5,-0.894444444
77,1,4,0,61,1,2,5,10,1,0,1,8500,1,1,1,5,9.2,10000,2000,0,0.5,0,5,5,7,5000,1000,0,0.5,0,,,,,,,,0,0,0,2,2.333333333,1.666666667,1.5,3,2.1,3,5,,,,,,5,3.67,4.5,4.6,3.33,4.75,4.31,0.4,-0.666666667,0.25,0.6,-0.666666667,0.25,0.027777778
77,1,4,0,61,1,2,5,10,1,0,1,8500,1,0,1,5,9.2,10000,2000,-0.71,0.5,-0.36,5,5,7,5000,1000,,0.5,0,,,,,,,,0,0,,2,2.333333333,1.666666667,1.5,3,2.1,3,5,,,,,,4.6,4.33,4.25,4,4,4.5,4.28,0.2,0.333333333,-0.25,0,0.333333333,1,0.269444444
79,1,2,1,52,2,2,4,7,1,0,0,0,1,1,7,20,13,140000,7000,-0.13,1,-0.13,,,,,,,0,0,,,,,,,,0,0,-0.125,1.5,2,1.333333333,2,3.5,2.066666667,3,5,,,,,,4.4,4,4.5,4,3.67,3.5,4.01,0.6,1,3,1.6,1.67,2,1.64
79,1,2,1,52,2,2,4,7,1,0,0,0,1,0,7,20,13,160000,8000,15,1,15,,,,,,,0,0,,,,,,,,0,0,,1.5,2,1.333333333,2,3.5,2.066666667,3,5,,,,,,3.8,3,1.5,2.4,2,1.5,2.37,-0.8,-0.333333333,-2.75,-1.8,-2.333333333,-2.75,-1.794444444
83,1,3,0,43,4,2,5,6,0,0,1,10000,1,1,1,40,25,20000,500,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,1.25,2,1,3,3.5,2.15,3,2,1,1,1,1,1,4.6,3.33,4.25,4.2,4.33,4.25,4.16,1,1,0.5,0,0.67,-0.75,0.4
83,1,3,0,43,4,2,5,6,0,0,1,10000,1,0,1,40,25,20000,500,0.65,1,0.65,,,,,,,0,0,,,,,,,,0,0,,1.25,2,1,3,3.5,2.15,3,2,1,1,1,1,1,3.6,2.33,3.75,4.2,3.67,5,3.76,-1.4,-1.666666667,-0.25,0.4,-0.666666667,0,-0.597222222
84,1,3,0,55,5,2,4,24,0,1,1,60000,1,1,7,4.3,30,1300,302.33,0,0.77,0,8,1.26,40,1440,1142.857143,0,0.226618705,0,,,,,,,,0,0,0,1.5,1.333333333,1.666666667,1.5,2,1.6,2,5,,,,,,5,4,4,3.8,4.33,5,4.36,0.6,-0.333333333,-0.25,-0.8,0.333333333,0.75,0.05
84,1,3,0,55,5,2,4,24,0,1,1,60000,1,0,7,4.3,30,1300,302.33,2.27,0.77,1.75,8,1.26,40,1440,1142.857143,,0.226618705,0,,,,,,,,0,0,,1.5,1.333333333,1.666666667,1.5,2,1.6,2,5,,,,,,4.4,4.33,4.25,4.6,4,4.25,4.31,0.4,0.333333333,0.25,0.2,0,-0.75,0.072222222
88,1,5,1,59,5,2,5,27,0,1,1,160000,0,1,2,40,20,3700,92.5,-0.98,1,-0.98,,,,,,,0,0,,,,,,,,0,0,-0.975,1.5,2.333333333,2,1,2,1.766666667,2,2,1,1,1,1,1,4,4,4,4.4,4,5,4.23,-0.2,-0.333333333,-0.75,0.6,0.333333333,1,0.108333333
88,1,5,1,59,5,2,5,27,0,1,1,160000,0,0,2,40,24,148000,3700,0.85,1,0.85,,,,,,,0,0,,,,,,,,0,0,,1.5,2.333333333,2,1,2,1.766666667,2,2,1,1,1,1,1,4.2,4.33,4.75,3.8,3.67,4,4.13,-0.8,-0.666666667,-0.25,-0.4,-0.666666667,-1,-0.630555556
89,1,5,1,57,4,1,4,16,0,0,1,135000,0,1,7,315,25,630000,2000,0,0.68,0,4,150,3.1,750000,5000,0,0.322580645,0,,,,,,,,0,0,0,2,2.666666667,2.333333333,1.5,2,2.1,1,5,,,,,,5,5,5,4.2,4.33,5,4.76,1.2,0.333333333,0.75,-0.2,1,1,0.680555556
89,1,5,1,57,4,1,4,16,0,0,1,135000,0,0,7,315,25,630000,2000,7.33,0.68,4.97,4,150,2.2,750000,5000,,0.322580645,0,,,,,,,,0,0,,2,2.666666667,2.333333333,1.5,2,2.1,1,5,,,,,,3.8,4.67,4.25,4.4,3.33,4,4.08,-1,0.333333333,-0.25,0.6,-0.333333333,-0.75,-0.233333333
90,0,3,1,51,3,1,3,21,0,0,1,200000,1,1,8,0.25,30,60,240,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,1.5,2,1.666666667,1.5,2.5,1.833333333,2,5,,,,,,4.8,4.33,4.5,3.8,3.67,4.75,4.31,-0.2,0.333333333,0.5,1.2,1.33,3,1.03
90,0,3,1,51,3,1,3,21,0,0,1,200000,1,0,8,0.25,30,60,240,-0.38,1,-0.38,,,,,,,0,0,,,,,,,,0,0,,1.5,2,1.666666667,1.5,2.5,1.833333333,2,5,,,,,,5,4,4,2.6,2.33,1.75,3.28,0,-0.333333333,-1,-2.2,-2,-3.25,-1.463888889
92,1,3,1,48,5,2,6,7,0,1,1,120000,0,1,1,26,10,10000,384.62,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,1.5,2,3,3.5,3.5,2.7,2,2,1,1,1,1,0,5,4.33,5,4.8,4.33,5,4.74,1.8,2,1.25,1.2,0.666666667,1.5,1.402777778
92,1,3,1,48,5,2,6,7,0,1,1,120000,0,0,1,26,10,10000,384.62,2.85,1,2.85,,,,,,,0,0,,,,,,,,0,0,,1.5,2,3,3.5,3.5,2.7,2,2,1,1,1,1,0,3.2,2.33,3.75,3.6,3.67,3.5,3.34,-1.4,-1.333333333,0.25,-0.6,-0.333333333,-0.25,-0.611111111
94,0,3,1,61,3,2,6,13,1,0,1,130000,1,1,7,2,15,200,100,0,1,0,,,,,,,0,0,,,,,,,,0,0,0,2,1.666666667,2.666666667,1.5,1.5,1.866666667,2,5,,,,,,4.6,3.67,3.5,4.2,4,3.75,3.95,1,1,-0.5,0.8,1.67,1,0.83
94,0,3,1,61,3,2,6,13,1,0,1,130000,1,0,7,2,15,200,100,-0.98,1,-0.98,,,,,,,0,0,,,,,,,,0,0,,2,1.666666667,2.666666667,1.5,1.5,1.866666667,2,5,,,,,,3.6,2.67,4,3.4,2.33,2.75,3.13,-1.4,-1.666666667,-0.75,-0.6,-2,-2.25,-1.444444444
97,1,3,1,54,3,1,6,12,0,0,1,140000,0,1,7,4,15,16000,4000,0,0.14,0,2,15,22,1400,93.33333333,0,0.535714286,0,1,1,9,2000,12,222.2222222,0,0.321428571,0,0,2,2.333333333,1.666666667,3,2.5,,2,5,,,,,,5,4.33,4.75,4,4.33,5,4.57,0.6,1,1.25,0.6,0.333333333,1.25,0.838888889
97,1,3,1,54,3,1,6,12,0,0,1,140000,0,0,7,4,10,16000,4000,59,0.14,8.43,2,15,20,1400,93.33333333,-0.99776,0.535714286,-0.534514286,1,1,9,2000,12,222.2222222,,0.321428571,0,,2,2.333333333,1.666666667,3,2.5,2.3,2,5,,,,,,4.4,3.33,3.5,3.4,4,3.75,3.73,-0.6,-1,-1.5,-0.2,0,-1.25,-0.758333333
98,1,1,1,61,6,2,5,6,1,0,1,25000,1,1,7,15,70,1000,66.67,0,1,0,8,0.003,200,125,41666.66667,0,0.00019996,0,,,,,,,,0,0,0,1.5,2,1.666666667,2,2.5,1.933333333,3,5,,,,,,5,4.33,5,3.6,4,5,4.49,0.8,0,0.25,-0.6,0,1,0.241666667
98,1,1,1,61,6,2,5,6,1,0,1,25000,1,0,7,15,70,1000,66.67,-0.94,1,-0.94,8,0.003,200,125,41666.66667,53.16666667,0.00019996,0.010631207,,,,,,,,0,0,,1.5,2,1.666666667,2,2.5,1.933333333,3,5,,,,,,4.2,4.33,4.75,4.2,4,4,4.25,-0.8,0.333333333,1,-0.4,0.666666667,-1,-0.033333333
99,1,3,1,65,1,3,2,15,0,1,1,130000,1,1,7,25,25,26000,1040,0,0.49,0,2,26,20,20000,769.2307692,-0.166666667,0.509803922,-0.08496732,,,,,,,,0,0,-0.04,2.5,2.333333333,2.666666667,2.5,2.5,2.5,2,5,,,,,,5,4,3.75,4.6,3.33,5,4.28,0.8,-0.333333333,-0.5,0.6,0,1.25,0.302777778
99,1,3,1,65,1,3,2,15,0,1,1,130000,1,0,7,25,25,26000,1040,-0.48,0.49,-0.24,2,26,22,24000,923.0769231,,0.509803922,0,,,,,,,,0,0,,2.5,2.333333333,2.666666667,2.5,2.5,2.5,2,5,,,,,,4.2,4.33,4.25,4,3.33,3.75,3.98,-0.8,0,0.25,-0.6,-1,-0.75,-0.483333333
